City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.68,156.12,37.22,77,100,14.54,RU,1604881196
1,hermanus,-34.42,19.23,51.01,90,43,11.12,ZA,1604881196
2,muros,42.78,-9.06,55.4,93,90,12.75,ES,1604881196
3,mahebourg,-20.41,57.7,73.4,88,40,14.56,MU,1604881196
4,puerto ayora,-0.74,-90.35,69.01,84,11,7.0,EC,1604881196
5,ushuaia,-54.8,-68.3,44.6,78,40,26.4,AR,1604881196
6,rikitea,-23.12,-134.97,72.95,77,92,16.42,PF,1604881196
7,guaratinga,-16.57,-39.57,77.0,78,40,9.17,BR,1604881196
8,busselton,-33.65,115.33,63.0,82,97,14.65,AU,1604881197
9,hithadhoo,-0.6,73.08,83.84,72,91,8.01,MV,1604881197
10,dingle,11.0,122.67,80.24,82,24,2.15,PH,1604881197
11,hobart,-42.88,147.33,71.01,48,5,5.82,AU,1604881063
12,monte alegre,-2.01,-54.07,83.57,60,38,6.46,BR,1604881197
13,cape town,-33.93,18.42,55.99,66,40,6.93,ZA,1604880982
14,granard,53.77,-7.5,49.8,97,37,7.99,IE,1604881197
15,chuy,-33.7,-53.46,59.34,89,8,6.91,UY,1604881198
16,camacha,33.08,-16.33,62.6,82,40,4.7,PT,1604881198
17,havre-saint-pierre,50.23,-63.6,19.4,92,40,5.44,CA,1604881198
18,punta arenas,-53.15,-70.92,44.6,70,0,18.34,CL,1604881198
19,montrose,38.42,-108.27,46.4,28,90,8.05,US,1604881126
20,nikolskoye,59.7,30.79,33.01,91,40,4.47,RU,1604881198
21,alofi,-19.06,-169.92,80.6,74,75,9.17,NU,1604881198
22,cap-aux-meules,47.38,-61.86,33.8,69,28,4.7,CA,1604881198
23,ponta do sol,32.67,-17.1,62.6,59,20,4.7,PT,1604881198
24,omboue,-1.57,9.26,75.74,92,100,6.33,GA,1604881199
25,turbat,26.0,63.04,63.37,55,0,1.54,PK,1604881199
26,havelock,34.88,-76.9,68.0,88,40,10.29,US,1604881006
27,kopervik,59.28,5.31,48.99,93,100,8.05,NO,1604881199
28,kahului,20.89,-156.47,89.6,46,20,20.8,US,1604881001
29,tuktoyaktuk,69.45,-133.04,8.6,92,40,2.24,CA,1604881199
30,coihaique,-45.58,-72.07,68.0,40,0,5.82,CL,1604881199
31,albany,42.6,-73.97,57.0,60,0,1.97,US,1604881199
32,mount isa,-20.73,139.5,95.0,10,0,6.93,AU,1604881199
33,avarua,-21.21,-159.78,78.8,74,85,4.7,CK,1604881200
34,moba,33.23,105.02,37.74,92,0,1.41,CN,1604881200
35,pevek,69.7,170.31,17.24,94,99,3.38,RU,1604881200
36,sao joao da barra,-21.64,-41.05,75.24,92,50,11.07,BR,1604881200
